"Factura","Material"
6246083000,1034
6246083000,1035
6246083000,1378
6246083000,1388
6246083000,1405
6246083000,1414
6246083000,1416
6246083000,1420
6246083000,1430
6246083000,1482
6246083000,1484
6246083000,17583
6246083000,1874
6246083000,4878
6246083000,4879
6246083000,1915
6246083000,1929
6246083000,1950
6246083000,1998
6246083000,2030
6246083000,2123
6246083000,2124
6246083000,2125
6246083000,2126
6246083000,2130
6246083000,2152
6246083000,2154
6246083000,2155
6246083000,2241
6246083000,2254
6246083000,2269
6246083000,2272
6246083000,2273
6246083000,1533
6246083000,2325
6246083000,2411
6246083000,2412
6246083000,2417
6246083000,2422
6246083000,2427
6246083000,2452
6246083000,2458
6246083000,2461
6246083000,2462
6246083000,2534
6246083000,2631
6246083000,2632
6246083000,2633
6246083000,2634
6246083000,2635
6246083000,2640
6246083000,2644
6246083000,2645
6246083000,2646
6246083000,2652
6246083000,2653
6246083000,2654
6246083000,2656
6246083000,2664
6246083000,2669
6246083000,2670
6246083000,2671
6246083000,2677
6246083000,3033
6246083000,3048
6246083000,3049
6246083000,3600
6246083000,3605
6246083000,4561
6246083000,5115
6246083000,5167
6246083000,5168
6246083000,5174
6246083000,5209
6246083000,5241
6246083000,5242
6246083000,5243
6246083000,5246
6246083000,1228
6246083000,1245
6246083000,2297
6246083000,2304
6246083000,5462
6246083000,5463
6246083000,5464
6246083000,5650
6246083000,5655
6246083000,5656
6246083000,5666
6246083000,5706
6246083000,5713
6246083000,5887
6246083000,5888
6246083000,5957
6246083000,6664
6246083000,6738
6246083000,6739
6246083000,6743
6246083000,6747
6246083000,6749
6246083000,6756
6246083000,6757
6246083000,6759
6246083000,6765
6246083000,6778
6246083000,6779
6246083000,6787
6246083000,6789
6246083000,6791
6246083000,6793
6246083000,6796
6246083000,6810
6246083000,6818
6246083000,6839
6246083000,6857
6246083000,6859
6246083000,6875
6246083000,6893
6246083000,7055
6246083000,7290
6246083000,7293
6246083000,7748
6246083000,7749
6246083000,7787
6246083000,7796
6246083000,7804
6246083000,7861
6246083000,7862
6246083000,7993
6246083000,8014
6246083000,8047
6246083000,8061
6246083000,8176
6246083000,8177
6246083000,8228
6246083000,8229
6246083000,8231
6246083000,9184
6246083000,9187
6246083000,9190
6246083000,9193
6246083000,9207
